# ID,label,height,mean_z,std_z,root_density,area,shape_index,circularity,elongation_xy,slenderness,rectangularity,footprint_density,bbox_volume,point_density_3d,lower_fraction,middle_fraction,upper_fraction,top_roughness,linearity,planarity,sphericity,anisotropy,curvature
  0.000000,  0.000000,  5.020000, 18.003384,  0.707655,  0.002764, 46.989536,  1.641515,  0.720607,  2.253762,  0.479007,  0.964245, 38.497925,244.634277,  7.394711,  0.018242,  0.537866,  0.443892,  0.143639,  0.701433,  0.280660,  0.017884,  0.982093,  0.013585
  1.000000,  0.000000,  3.600000,  7.385179,  0.803935,  0.004335, 53.223175,  1.869214,  0.824950,  1.716615,  0.341555,  0.822418, 39.005558,232.975769,  8.910797,  0.113680,  0.214355,  0.671965,  0.054323,  0.228239,  0.713396,  0.058325,  0.941635,  0.031871
  2.000000,  0.000000,  7.490000, 12.986387,  1.452136,  0.001452,239.904449,  4.018826,  0.846000,  1.061020,  0.439554,  0.876644, 37.314854,2049.730713,  4.367403,  0.094616,  0.310769,  0.594616,  0.118133,  0.367180,  0.476916,  0.155864,  0.844096,  0.087141
  3.000000,  0.000000,  7.070000, 13.856273,  1.561309,  0.000973,265.789520,  4.287230,  0.869012,  1.263283,  0.334121,  0.749907, 38.673458,2505.820312,  4.102050,  0.069851,  0.338165,  0.591984,  0.136190,  0.573012,  0.271215,  0.155754,  0.844226,  0.098409
  4.000000,  0.000000,  5.210000,  7.823214,  0.773260,  0.000412,332.970276,  4.879801,  0.898688,  1.067450,  0.220950,  0.639243, 36.414661,2713.796875,  4.467910,  0.017485,  0.558928,  0.423588,  0.243001,  0.251358,  0.709997,  0.038610,  0.961355,  0.021604
  5.000000,  0.000000,  3.700000, 12.306648,  0.628529,  0.001182,102.337166,  2.630211,  0.849489,  1.649648,  0.260197,  0.834884, 33.067162,453.533264,  7.461415,  0.047281,  0.460697,  0.492021,  0.087472,  0.138871,  0.814742,  0.046348,  0.953613,  0.024298
  6.000000,  0.000000,  1.660000,  7.560163,  0.419094,  0.000618, 85.874535,  2.369967,  0.821922,  1.115729,  0.167170,  0.971685, 37.682880,146.705597, 22.057779,  0.257108,  0.385352,  0.357540,  0.045438,  0.589843,  0.378903,  0.031225,  0.968746,  0.021664
  7.000000,  0.000000,  3.750000, 14.992104,  0.645491,  0.000311,365.960968,  4.826940,  0.800053,  1.596566,  0.144009,  0.861668, 35.167683,1592.671753,  8.080761,  0.435198,  0.544600,  0.020202,  0.209089,  0.279322,  0.247952,  0.472690,  0.527274,  0.215512
  8.000000,  0.000000,  5.770000,  9.090026,  0.806332,  0.001294,227.853531,  3.970122,  0.869285,  1.404470,  0.296201,  0.843316, 33.920914,1558.982666,  4.957720,  0.063009,  0.648596,  0.288394,  0.163478,  0.342817,  0.374626,  0.282521,  0.717443,  0.145654
  9.000000,  0.000000,  6.660000, 12.061667,  1.219390,  0.001078,180.444458,  3.256286,  0.738434,  1.995893,  0.342592,  0.952991, 30.840511,1261.040527,  4.413023,  0.119497,  0.098832,  0.781671,  0.232263,  0.713316,  0.132256,  0.154410,  0.845572,  0.107149
 10.000000,  0.000000,  3.590000, 12.002056,  0.567270,  0.001114,192.894287,  3.516771,  0.805710,  1.316083,  0.220516,  0.957843, 37.227642,722.968628,  9.932658,  0.067957,  0.604373,  0.327670,  0.078593,  0.103983,  0.673629,  0.222337,  0.777611,  0.104960
 11.000000,  0.000000,  6.650001, 15.063942,  1.441126,  0.000613,277.184692,  4.483492,  0.911326,  1.171143,  0.331671,  0.807516, 35.337448,2282.651611,  4.291062,  0.198673,  0.479632,  0.321695,  0.210045,  0.378296,  0.438024,  0.183650,  0.816319,  0.101727
 12.000000,  0.000000,  4.320000,  6.980273,  0.697897,  0.005777, 50.158043,  1.827130,  0.836390,  1.606161,  0.460554,  0.915642, 37.960007,236.645752,  8.045781,  0.037815,  0.448529,  0.513655,  0.091790,  0.368964,  0.499656,  0.131346,  0.868619,  0.074529
 13.000000,  0.000000,  5.849999, 12.914750,  0.663298,  0.001491,172.557480,  3.399946,  0.841822,  1.013350,  0.405686,  0.840937, 34.985439,1200.400757,  5.029154,  0.021700,  0.794269,  0.184032,  0.254310,  0.850863,  0.036020,  0.113108,  0.886883,  0.089609
 14.000000,  0.000000,  4.820001,  6.955737,  0.763505,  0.001253,184.255798,  3.535372,  0.852431,  1.207277,  0.315858,  0.955254, 38.978416,929.714233,  7.724954,  0.030493,  0.326650,  0.642857,  0.085564,  0.092810,  0.850480,  0.056668,  0.943289,  0.028856
 15.000000,  0.000000,  9.570000, 10.329989,  1.497230,  0.000417,765.836060,  7.119778,  0.831777,  1.123401,  0.294461,  0.814524, 34.410759,8997.950195,  2.928778,  0.045460,  0.250522,  0.704019,  0.161646,  0.423802,  0.406605,  0.169577,  0.830407,  0.097136
 16.000000,  0.000000,  5.060000, 10.958351,  1.117665,  0.000930,137.012894,  3.092280,  0.877014,  1.498052,  0.329213,  0.868843, 39.259079,797.940979,  6.741100,  0.106525,  0.416620,  0.476854,  0.109921,  0.123375,  0.820782,  0.055802,  0.944157,  0.028877
 17.000000,  0.000000,  2.720000,  7.959258,  0.390858,  0.000713,208.936234,  3.642751,  0.798096,  1.188095,  0.156592,  0.822746, 33.550903,690.743408, 10.148486,  0.001712,  0.362197,  0.636091,  0.057827,  0.138403,  0.837996,  0.023557,  0.976398,  0.012496
